月,实际品牌,产品,是否旗舰店,进入时间,销量(件),均价(元),匹数,机型,冷暖型和单冷型,新风功能,是否为省电型,滞后三期铜价,市场月活
202603,万宝 Wb,万宝 Wb-万宝空调京东自营旗舰店,0,0,5783,1098,大 1.5 匹,0,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,1923,3288.7,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,2477,2549.1,大 1 匹,0,1,0,1,11790.96,591500000
202603,长虹 Changhong,长虹 Changhong-长虹空调京东自营旗舰店,0,0,2404,2599,大 2 匹,1,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-京东家电自营旗舰店,0,0,3272,1899,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,2474,2499,正 2 匹,0,1,0,1,11790.96,591500000
202603,创维 Skyworth,创维 Skyworth-创维空调京东自营旗舰店,1,2023/2/23,4417,1399,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,1361,4499,正 2 匹,1,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米官方旗舰店,0,0,3327,1799,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,Tcl,Tcl-TCL京东自营旗舰店,0,0,2983,1999,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,1166,5098.5,正 2 匹,1,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,2373,2379.2,正 1 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,1764,3198.5,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,2528,2199,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力（GREE）京东自营专卖店,0,0,1962,2822,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,康佳 Konka,康佳 Konka-康佳京东自营旗舰店,0,0,3760,1399,大 1.5 匹,0,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力官方旗舰店,0,0,1687,2898,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,海信 Hisense,海信 Hisense-海信京东自营旗舰店,0,0,2567,1881,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,2200,2189,正 1.5 匹,0,0,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,830,5694.1,大 3 匹,1,1,0,0,11790.96,591500000
202603,华凌,华凌-华凌京东自营旗舰店,0,0,959,4899,正 3 匹,1,1,0,1,11790.96,591500000
202603,统帅 Leader,统帅 Leader-海尔京东自营旗舰店,0,0,2647,1764,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力官方旗舰店,0,0,1428,3249,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,1178,3934,正 3 匹,1,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力空调京东自营官方旗舰店,0,0,1506,2999,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,1420,3098.2,正 2 匹,0,1,0,1,11790.96,591500000
202603,奥克斯 Aux,奥克斯 Aux-奥克斯空调京东自营旗舰店,0,0,1464,2974.1,大 3 匹,1,1,0,0,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,1511,2799,正 2 匹,0,0,0,1,11790.96,591500000
202603,新飞 Frestec,新飞 Frestec-新飞空调京东自营旗舰店,0,0,3380,1249,正 1 匹,0,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米（MI）空调京东自营专卖店,0,0,2562,1646,大 1 匹,0,1,0,1,11790.96,591500000
